ZIP_CODE,CITY,PHYSICAL DELV ADDR,STATE
81433,SILVERTON,138 W 12TH ST,CO
81435,TELLURIDE,150 S WILLOW ST,CO
84511,BLANDING,90 N MAIN ST,UT
84511,BLANDING,90 N MAIN ST,UT
84512,BLUFF,55 N 500 E,UT
84530,LA SAL,2 MAIN ST,UT
84531,MEXICAN HAT,2956 S US HIGHWAY 163,UT
84533,LAKE POWELL,89 N HIGHWAY 276,UT
84534,MONTEZUMA CREEK,50 CENTER ST,UT
84535,MONTICELLO,197 S MAIN ST,UT
84536,MONUMENT VALLEY,1 WELCOME CENTER DR,UT
85530,BYLAS,297 E US HIGHWAY 70,AZ
85531,CENTRAL,5442 W COOMBS ST,AZ
85533,CLIFTON,494 N CORONADO BLVD,AZ
85534,DUNCAN,209 MAIN ST,AZ
85536,FORT THOMAS,15550 W US HIGHWAY 70,AZ
85540,MORENCI,9 MORENCI MALL,AZ
85542,PERIDOT,261 STATE HIGHWAY 170,AZ
85543,PIMA,41 E CENTER ST,AZ
85546,SAFFORD,504 S 5TH AVE,AZ
85546,SAFFORD,504 S 5TH AVE,AZ
85550,SAN CARLOS,9998 SAN CARLOS AVE,AZ
85551,SOLOMON,2106 S BOWIE AVE,AZ
85552,THATCHER,1122 N STADIUM AVE,AZ
85602,BENSON,250 S OCOTILLO ST,AZ
85603,BISBEE,6 MAIN ST,AZ
85603,BISBEE,1248 W HIGHWAY 92,AZ
85605,BOWIE,118 E LOOP I 10,AZ
85606,COCHISE,5066 N DOS CABEZAS ST,AZ
85607,DOUGLAS,601 E 10TH ST,AZ
85607,DOUGLAS,601 E 10TH ST,AZ
85607,DOUGLAS,601 E 10TH ST,AZ
85609,DRAGOON,4752 DRAGOON RD,AZ
85610,ELFRIDA,10341 N HIGHWAY 191,AZ
85613,FORT HUACHUCA,47 ARIZONA ST,AZ
85615,HEREFORD,7268 S HIGHWAY 92,AZ
85616,HUACHUCA CITY,690 N GONZALES BLVD,AZ
85617,MC NEAL,9103 N HIGHWAY 191,AZ
85620,NACO,3833 S GIESLER AVE,AZ
85625,PEARCE,107 N FRONTAGE RD,AZ
85626,PIRTLEVILLE,430 W GRACE AVE,AZ
85627,POMERENE,1408 N OLD POMERENE RD,AZ
85630,SAINT DAVID,21 S MILLER LN,AZ
85631,SAN MANUEL,430 S AVENUE A,AZ
85632,SAN SIMON,2391 S ROCK HOUSE RD,AZ
85632,SAN SIMON,2908 N ARIZONA AVE,AZ
85635,SIERRA VISTA,2300 E FRY BLVD,AZ
85635,SIERRA VISTA,2300 E FRY BLVD,AZ
85635,SIERRA VISTA,2300 E FRY BLVD,AZ
85635,SIERRA VISTA,2300 E FRY BLVD,AZ
85637,SONOITA,3166 HIGHWAY 83 STE 1,AZ
85637,SONOITA,3166 HIGHWAY 83 STE 1,AZ
85638,TOMBSTONE,100 HASKELL ST,AZ
85641,VAIL,13333 E COLOSSAL CAVE RD,AZ
85641,VAIL,13190 E COLOSSAL CAVE RD STE 100,AZ
85643,WILLCOX,200 S CURTIS AVE,AZ
85643,WILLCOX,200 S CURTIS AVE,AZ
85901,SHOW LOW,191 W DEUCE OF CLUBS,AZ
85901,SHOW LOW,191 W DEUCE OF CLUBS,AZ
85901,SHOW LOW,1785 EDMONDS CIR,AZ
85911,CIBECUE,221 S COOLEY RD,AZ
85920,ALPINE,42631 HWY 191,AZ
85922,BLUE,43287 BLUE RIVER RD,AZ
85923,CLAY SPRINGS,4995 GARDENIA,AZ
85924,CONCHO,37001 STATE HIGHWAY 61,AZ
85925,EAGAR,113 W CENTRAL AVE,AZ
85926,FORT APACHE,105 OFFICERS ROW,AZ
85927,GREER,76 N MAIN ST,AZ
